id;Дата создания;Дата изменения;Название заметки;Описание заметки
3;18.09.2019/07:40;18.09.2021/09:32;Время работы почты;Лучше приходить к ним с 10:00 до 12:00 или с 13:30 до 16:00 - меньше людей в очереди 
7;11.01.2020/09:30;16.02.2024/14:10;Время последней эликтрички в город; 22:33 
8;13.05.2020/04:30;14.05.2020/08:37;Экзамен по вождению в ГАИ;Быть в ГАИ 20.05.2020 к 9:00, взять с собой паспорт и деньги для оплаты пошлины
10;15.08.2020/13:12;14.08.2021/14:16;Езда на велосипеде;К следующему разу купить маленький насосик для подкачки воздуха в колесах и взять мешок с инструментами
12;11.02.2021/20:13;16.02.2024/14:24;Сауна в бассейне;После плавания можно сходить в сауну, если она работает,часы работы с 10 до 18
14;12.03.2021/22:40;12.03.2021/13:55;Муравьиные дорожки;Когда муравьи находят что-то съестное, они прокладывают дорогу, помечяя ее специальными веществами, чтобы следующие братья уже знали, куда им надо двигаться.
18;15.06.2022/10:54;15.06.2022/10:54;Работа за компьютером;Необходимо тщательно относиться к подбору кресла для стола по высоте
24;13.02.2022/08:45;13.02.2023/08:45;Ввожу гарантированно очень длинное назв;Тестирование обрезки названия
26;13.02.2024/14:21;14.02.2024/17:05;Снова тестирование названия;Тестирование обрезки пробелов
27;14.02.2024/11:00;14.02.2024/11:00;Новая заметка;Содержание новой заметки
30;14.02.2024/13:24;16.02.2024/14:21;Аэропорт Санкт-петербург, Пулково;Вылетаем 18 февраля в 11:00, быть в аэропорте в 08:30
31;16.02.2024/13:01;16.02.2024/13:01;Пропорция воды и гречки для варки;Пропорция 1:2.5, т.е. 1 часть гречки и 2.5 части воды
32;16.02.2024/14:42;16.02.2024/14:42;Нос и мороз;"Во время прогулок на сильном морозе нужно периодически проверять свой нос - его запросто можно ""отморозить"""
